filiere_bac,note_maths,note_sciences,note_physique,note_langues,note_philo,interet_principal,niveau,orientation
PC,12.8,8.8,9.8,14.8,12.5,Marketing,Lycée,Commerce
Economie,8.2,9.6,7.9,16.4,16.9,Politique,Lycée,Droit
Economie,12.2,9.5,10.5,15.2,13.9,Marketing,Lycée,Commerce
Economie,8.0,8.2,8.7,17.7,12.7,Culture,Lycée,Langues
Economie,11.2,7.2,10.0,15.4,16.5,Histoire,Université,Droit
PC,13.9,16.3,15.9,9.9,11.0,Construction,Lycée,Médecine
Economie,9.8,7.7,11.6,13.0,11.5,Finance,Lycée,Commerce
SVT,16.7,13.1,14.0,11.5,8.3,Technologie,Lycée,Informatique
SVT,13.4,12.0,14.3,12.2,12.6,Construction,Lycée,Architecture
PC,14.4,16.5,16.0,13.0,9.9,Sciences,Lycée,Médecine
PC,16.9,13.3,11.2,10.2,12.0,Programmation,Université,Informatique
PC,17.5,14.1,12.4,10.4,9.7,Programmation,Lycée,Informatique
SVT,15.3,17.0,17.3,13.9,9.7,Biologie,Lycée,Médecine
SVT,16.9,12.4,14.9,9.1,11.0,Jeux vidéo,Université,Informatique
SVT,15.6,14.8,17.3,9.7,12.3,Construction,Université,Ingénierie
SVT,10.1,9.1,7.5,15.1,16.9,Politique,Université,Droit
Lettres,8.2,11.3,7.5,16.8,17.5,Histoire,Lycée,Droit
PC,13.6,11.7,14.7,14.1,12.4,Art,Lycée,Architecture
Lettres,9.5,11.1,7.2,14.8,16.1,Justice,Université,Droit
Lettres,6.3,8.1,9.8,18.1,14.8,Mécanique,Lycée,Langues
PC,12.0,8.6,8.3,14.2,12.5,Finance,Université,Commerce
Lettres,9.0,13.0,9.4,12.6,15.5,Santé,Lycée,Psychologie
PC,16.3,14.6,12.0,10.1,10.8,Technologie,Lycée,Informatique
Lettres,9.9,8.9,10.1,15.4,16.0,Justice,Université,Droit
Economie,10.3,13.2,10.2,12.5,15.1,Sciences humaines,Université,Psychologie
STM,15.7,15.3,16.6,9.5,10.5,Technologie,Université,Ingénierie
Lettres,14.3,14.4,14.3,13.3,12.2,Art,Lycée,Architecture
SVT,10.6,9.7,8.3,14.5,14.1,Littérature,Lycée,Langues
PC,13.1,9.0,8.9,15.8,12.8,Marketing,Lycée,Commerce
SVT,12.5,16.5,17.4,11.9,12.6,Sciences,Lycée,Médecine
PC,12.6,10.5,12.0,12.5,10.1,Art,Université,Architecture
Economie,8.0,13.0,9.8,14.1,15.2,Sciences humaines,Lycée,Psychologie
Economie,9.0,9.8,9.1,14.3,17.8,Politique,Lycée,Droit
SVT,6.8,12.9,9.9,12.5,15.8,Santé,Université,Psychologie
STM,12.1,13.0,13.6,12.0,10.8,Art,Lycée,Architecture
Lettres,9.9,10.9,11.0,14.8,11.6,Business,Université,Commerce
PC,14.0,12.9,11.4,10.9,11.4,Design,Université,Architecture
SVT,16.3,12.2,13.6,9.9,10.3,Technologie,Université,Informatique
PC,14.6,12.1,13.5,13.1,10.9,Construction,Université,Architecture
Economie,9.3,8.2,8.8,14.0,17.8,Politique,Université,Droit
STM,12.8,14.3,16.7,12.1,12.7,Construction,Lycée,Architecture
SVT,15.9,19.9,15.5,12.6,11.9,Biologie,Université,Médecine
SVT,15.3,19.7,16.2,12.0,11.4,Biologie,Université,Médecine
SVT,8.8,13.4,8.6,16.2,15.5,Santé,Lycée,Psychologie
STM,13.3,12.5,13.1,12.0,13.6,Technologie,Lycée,Architecture
SVT,15.0,17.3,16.6,12.5,11.2,Sciences,Lycée,Médecine
PC,14.5,16.8,15.6,14.2,8.3,Santé,Lycée,Médecine
Economie,12.8,9.5,8.5,14.8,12.5,Marketing,Lycée,Commerce
SVT,14.3,18.0,17.2,14.2,10.6,Biologie,Lycée,Médecine
Lettres,11.3,8.4,9.2,16.0,14.3,Marketing,Université,Commerce
SVT,12.3,12.5,18.1,8.1,9.1,Technologie,Lycée,Ingénierie
PC,14.8,13.6,13.2,9.6,11.2,Jeux vidéo,Lycée,Informatique
SVT,12.8,11.0,13.0,10.4,12.3,Design,Université,Architecture
Lettres,11.3,10.3,6.2,15.3,11.0,Finance,Université,Commerce
STM,15.0,12.3,16.6,12.4,9.5,Mécanique,Lycée,Ingénierie
Economie,8.5,8.0,7.9,15.7,17.3,Histoire,Université,Droit
PC,15.7,13.7,16.8,9.1,13.3,Mécanique,Université,Ingénierie
SVT,11.1,13.5,12.7,11.0,11.3,Design,Lycée,Architecture
Lettres,4.2,15.4,10.2,14.0,15.7,Sciences humaines,Université,Psychologie
PC,14.9,13.4,15.3,11.8,12.0,Mécanique,Lycée,Ingénierie
Lettres,8.8,10.0,8.1,15.4,17.9,Politique,Lycée,Droit
SVT,11.4,18.0,15.3,11.2,10.2,Santé,Université,Médecine
SVT,14.8,14.9,17.6,10.8,8.6,Construction,Lycée,Ingénierie
PC,13.5,17.4,17.3,14.8,11.5,Biologie,Université,Médecine
SVT,14.0,11.5,13.2,11.4,13.1,Design,Université,Architecture
Lettres,9.4,8.4,9.6,15.0,17.0,Histoire,Université,Droit
PC,13.3,16.0,16.0,14.7,14.5,Santé,Lycée,Médecine
SVT,15.7,14.3,16.4,9.7,11.3,Mécanique,Lycée,Ingénierie
Economie,7.6,9.2,11.1,16.5,18.3,Justice,Lycée,Droit
STM,15.8,12.2,13.9,9.8,9.8,Jeux vidéo,Université,Informatique
Lettres,15.5,12.7,12.4,10.6,10.3,Programmation,Lycée,Informatique
SVT,8.8,13.6,7.2,13.5,16.1,Sciences humaines,Lycée,Psychologie
SVT,15.7,10.6,15.7,11.7,10.1,Construction,Lycée,Ingénierie
PC,13.7,18.3,15.8,14.9,11.3,Sciences,Lycée,Médecine
Lettres,9.7,8.8,6.7,20.0,15.7,Culture,Université,Langues
PC,11.6,10.5,7.2,15.1,12.8,Business,Lycée,Commerce
PC,15.5,9.8,16.5,10.7,10.5,Technologie,Lycée,Ingénierie
SVT,11.2,9.7,9.1,16.5,14.4,Voyage,Lycée,Langues
STM,15.7,14.3,13.2,8.9,9.7,Technologie,Université,Informatique
SVT,13.4,12.8,13.3,13.4,14.2,Art,Lycée,Architecture
STM,18.0,13.0,13.4,12.4,13.1,Technologie,Université,Informatique
Lettres,8.2,15.5,10.1,13.0,15.1,Santé,Université,Psychologie
SVT,13.4,12.5,13.9,11.8,10.0,Art,Lycée,Architecture
SVT,8.6,12.0,10.4,14.8,15.9,Santé,Université,Psychologie
Lettres,8.5,7.1,10.1,19.3,13.8,Culture,Lycée,Langues
SVT,7.8,9.7,9.1,16.5,17.9,Justice,Lycée,Droit
STM,16.1,12.6,14.0,14.7,8.5,Construction,Université,Architecture
SVT,9.4,13.1,8.9,11.6,16.2,Sciences humaines,Lycée,Psychologie
PC,11.1,7.6,9.8,12.8,12.5,Santé,Lycée,Commerce
Lettres,9.9,14.3,8.4,13.5,17.1,Santé,Lycée,Psychologie
SVT,13.4,12.4,17.2,11.3,10.2,Technologie,Lycée,Ingénierie
SVT,14.6,12.5,17.2,10.7,11.7,Construction,Lycée,Ingénierie
SVT,17.3,12.5,13.0,11.5,11.6,Jeux vidéo,Lycée,Informatique
SVT,9.9,9.0,8.2,19.3,13.7,Culture,Université,Langues
SVT,15.7,9.4,13.1,14.9,11.1,Art,Lycée,Architecture
SVT,14.4,18.8,16.3,13.4,12.3,Sciences,Université,Médecine
PC,14.0,13.1,15.6,8.6,10.5,Mécanique,Lycée,Ingénierie
STM,14.1,12.0,13.6,12.3,12.3,Design,Lycée,Architecture
SVT,14.3,18.9,15.4,12.7,12.7,Sciences,Université,Médecine
STM,16.8,13.7,15.8,10.2,9.5,Mécanique,Lycée,Ingénierie
Economie,12.9,10.7,8.8,16.3,13.0,Marketing,Lycée,Commerce
SVT,15.8,12.1,16.0,12.5,10.0,Construction,Lycée,Ingénierie
PC,16.6,12.7,16.2,11.3,10.1,Technologie,Lycée,Ingénierie
PC,17.2,12.1,14.0,9.9,11.2,Technologie,Lycée,Informatique
Economie,9.2,8.5,10.2,13.8,13.7,Culture,Université,Droit
PC,14.2,16.9,16.3,11.7,7.9,Biologie,Université,Médecine
Economie,7.7,7.4,7.9,14.8,17.5,Justice,Lycée,Droit
STM,16.2,13.0,18.0,10.1,9.9,Construction,Université,Ingénierie
STM,14.7,12.9,15.8,12.1,9.4,Technologie,Lycée,Ingénierie
Lettres,8.6,13.6,7.9,11.8,14.8,Philosophie,Lycée,Psychologie
PC,14.4,12.5,16.7,11.9,9.7,Construction,Lycée,Ingénierie
SVT,14.0,12.8,17.1,11.1,9.6,Mécanique,Lycée,Ingénierie
PC,14.1,10.2,11.6,15.7,13.4,Marketing,Université,Commerce
STM,16.9,14.4,12.6,11.5,8.9,Technologie,Lycée,Informatique
Economie,8.8,12.0,8.8,14.6,16.1,Sciences humaines,Lycée,Psychologie
STM,13.7,14.7,12.0,11.4,11.6,Sciences humaines,Lycée,Architecture
STM,15.7,13.8,14.7,10.9,11.9,Technologie,Université,Informatique
Economie,7.0,8.9,8.7,15.6,16.9,Histoire,Université,Droit
STM,16.3,13.4,16.8,11.2,11.2,Technologie,Lycée,Ingénierie
PC,13.7,14.2,15.7,11.5,12.3,Philosophie,Lycée,Ingénierie
Economie,10.8,10.4,11.1,15.8,12.7,Finance,Lycée,Commerce
Economie,13.1,10.4,9.4,16.6,12.9,Marketing,Université,Commerce
STM,16.1,11.4,13.3,13.0,11.7,Design,Université,Architecture
SVT,8.0,9.9,7.1,16.4,14.2,Littérature,Université,Langues
PC,10.9,7.4,9.9,14.6,12.6,Finance,Lycée,Commerce
STM,16.4,13.9,14.3,11.9,11.1,Programmation,Lycée,Informatique
Economie,9.8,13.5,10.8,12.4,16.6,Santé,Université,Psychologie
PC,14.2,13.7,16.0,10.7,9.7,Construction,Lycée,Ingénierie
PC,15.4,18.4,15.6,11.8,11.4,Sciences,Université,Médecine
SVT,16.1,13.0,16.6,12.0,9.7,Jeux vidéo,Lycée,Informatique
SVT,8.3,10.3,10.7,16.2,18.2,Politique,Université,Droit
Lettres,8.5,9.3,9.5,17.5,14.1,Culture,Lycée,Langues
SVT,16.0,14.7,13.5,11.0,10.8,Programmation,Lycée,Informatique
PC,15.4,16.0,17.0,13.3,12.4,Biologie,Lycée,Médecine
Economie,10.9,14.1,8.9,15.0,13.8,Philosophie,Université,Psychologie
SVT,16.7,17.2,15.5,12.0,9.1,Sciences,Lycée,Médecine
SVT,8.2,14.2,9.8,10.6,15.1,Sciences humaines,Université,Psychologie
PC,12.1,9.3,11.9,13.5,13.0,Marketing,Université,Commerce
PC,14.2,11.2,12.9,11.4,13.4,Art,Université,Architecture
Lettres,9.6,12.6,9.2,13.1,16.1,Sciences humaines,Lycée,Psychologie
SVT,13.9,12.7,13.6,12.9,12.5,Construction,Lycée,Architecture
SVT,14.3,16.7,16.9,13.7,12.4,Sciences,Lycée,Médecine
Economie,14.3,10.9,10.2,14.5,13.4,Marketing,Université,Commerce
STM,16.6,13.3,15.1,9.6,10.5,Justice,Lycée,Informatique
SVT,15.5,17.4,15.8,11.9,13.0,Santé,Lycée,Médecine
Lettres,14.5,8.4,8.2,13.6,11.8,Finance,Université,Commerce
SVT,13.3,11.4,14.1,10.7,13.0,Construction,Université,Architecture
SVT,11.8,8.7,9.6,16.5,11.9,Littérature,Université,Langues
SVT,15.3,10.6,15.0,12.7,14.8,Design,Université,Architecture
Lettres,7.9,9.0,9.5,18.1,12.2,Culture,Université,Langues
Economie,6.9,8.8,9.1,14.6,18.4,Histoire,Université,Droit
STM,15.3,14.5,15.8,11.8,10.2,Culture,Lycée,Ingénierie
SVT,6.9,13.3,8.9,14.2,15.9,Philosophie,Lycée,Psychologie
STM,15.7,15.5,15.2,10.7,9.4,Technologie,Université,Ingénierie
PC,13.8,11.4,13.1,10.8,11.7,Construction,Lycée,Architecture
Lettres,14.1,11.7,7.1,13.9,12.1,Business,Lycée,Commerce
SVT,15.4,13.7,16.2,11.7,9.7,Jeux vidéo,Université,Informatique
Economie,9.9,8.1,6.5,19.2,12.7,Culture,Lycée,Langues
PC,14.2,14.0,14.4,12.2,13.8,Construction,Lycée,Architecture
PC,16.2,13.9,18.1,12.2,10.8,Construction,Lycée,Ingénierie
Lettres,14.0,17.3,17.5,10.8,9.3,Santé,Université,Médecine
PC,11.7,6.8,7.9,17.1,10.9,Finance,Université,Commerce
PC,14.0,13.6,12.7,11.2,11.4,Art,Lycée,Architecture
PC,16.6,12.0,16.2,10.4,12.4,Construction,Lycée,Ingénierie
SVT,15.5,10.0,14.3,11.8,10.9,Construction,Lycée,Architecture
PC,12.1,9.2,9.3,14.3,13.6,Business,Lycée,Commerce
SVT,16.7,18.2,15.1,13.5,11.4,Biologie,Lycée,Médecine
SVT,14.7,12.7,18.0,10.5,11.1,Construction,Université,Ingénierie
PC,14.0,11.1,12.2,13.8,12.4,Construction,Lycée,Architecture
SVT,8.4,12.4,7.7,14.7,15.5,Santé,Lycée,Psychologie
PC,16.2,12.3,12.1,10.6,10.4,Programmation,Lycée,Informatique
SVT,17.3,13.7,18.4,11.5,11.8,Technologie,Lycée,Informatique
SVT,9.6,14.5,8.6,13.5,16.6,Philosophie,Lycée,Psychologie
SVT,11.0,11.6,8.3,14.4,16.1,Sciences humaines,Lycée,Psychologie
SVT,14.3,10.3,12.3,9.4,10.6,Programmation,Lycée,Informatique
Economie,9.3,11.3,11.3,13.8,17.0,Justice,Lycée,Droit
SVT,8.9,10.5,7.3,14.3,17.7,Justice,Lycée,Droit
Lettres,7.7,10.3,10.8,17.2,17.9,Histoire,Lycée,Droit
Economie,8.5,13.1,9.3,14.2,17.3,Programmation,Université,Psychologie
SVT,15.6,10.9,14.4,10.4,11.5,Design,Université,Architecture
SVT,13.4,11.3,15.0,10.9,10.9,Art,Université,Architecture
PC,16.4,12.3,13.1,10.1,9.5,Programmation,Lycée,Informatique
Lettres,13.0,8.3,12.5,15.3,13.9,Finance,Université,Commerce
SVT,14.6,17.6,14.8,11.8,12.4,Sciences,Lycée,Médecine
Economie,8.1,9.7,7.9,15.9,15.4,Politique,Lycée,Droit
Economie,6.6,7.7,5.1,17.3,12.5,Voyage,Lycée,Langues
Lettres,9.9,15.7,8.2,12.2,16.7,Philosophie,Lycée,Psychologie
SVT,7.6,8.0,6.5,17.3,16.2,Voyage,Lycée,Langues
STM,15.8,14.5,13.9,12.0,13.0,Art,Lycée,Architecture
PC,14.6,15.7,16.8,11.5,9.5,Technologie,Lycée,Ingénierie
SVT,14.8,11.4,15.7,8.2,10.2,Technologie,Lycée,Ingénierie
SVT,13.5,18.0,14.7,12.4,11.0,Biologie,Lycée,Médecine
SVT,7.3,12.4,8.6,14.1,15.9,Philosophie,Lycée,Psychologie
Economie,11.8,9.7,8.1,14.1,11.7,Finance,Lycée,Commerce
STM,12.5,11.6,17.8,9.5,10.6,Mécanique,Université,Ingénierie
STM,15.9,13.1,15.7,10.4,11.0,Construction,Lycée,Ingénierie
SVT,10.2,13.0,6.3,11.7,15.2,Santé,Université,Psychologie
PC,14.3,12.8,15.1,12.5,12.8,Design,Université,Architecture
Economie,7.1,8.7,11.1,17.2,13.6,Voyage,Université,Langues
SVT,12.8,12.8,13.5,12.5,10.7,Art,Lycée,Architecture
Lettres,9.3,14.0,10.6,13.2,15.3,Santé,Université,Psychologie
PC,17.8,11.8,14.1,11.1,12.4,Jeux vidéo,Université,Informatique
PC,13.1,16.0,17.0,13.6,12.3,Biologie,Université,Médecine
SVT,16.6,17.8,15.5,13.3,10.9,Santé,Lycée,Médecine
STM,15.7,15.2,13.9,9.4,10.7,Construction,Université,Architecture
SVT,13.8,18.4,14.6,11.9,12.1,Sciences,Université,Médecine
Lettres,8.1,9.6,7.7,14.1,17.9,Politique,Université,Droit
SVT,11.0,12.8,9.3,14.3,15.2,Philosophie,Université,Psychologie
SVT,14.0,12.0,11.7,12.0,13.3,Construction,Lycée,Architecture
PC,15.1,13.6,17.0,12.1,7.9,Construction,Lycée,Ingénierie
Economie,8.8,9.5,9.7,14.9,14.3,Politique,Université,Droit
SVT,8.2,9.6,9.0,16.3,16.3,Justice,Université,Droit
SVT,7.5,13.8,9.4,13.9,15.5,Santé,Lycée,Psychologie
Economie,8.5,13.0,10.8,14.5,16.6,Santé,Université,Psychologie
Economie,9.1,13.1,7.2,12.4,16.8,Sciences humaines,Lycée,Psychologie
STM,14.7,15.7,15.4,10.5,8.4,Construction,Lycée,Ingénierie
SVT,11.2,14.1,7.0,9.2,16.1,Sciences humaines,Lycée,Psychologie
Lettres,9.8,8.7,7.9,15.4,17.4,Histoire,Université,Droit
SVT,14.9,18.5,14.7,13.9,13.2,Biologie,Lycée,Médecine
Economie,7.9,9.0,10.3,14.3,17.3,Design,Université,Droit
SVT,15.1,17.2,15.7,11.4,11.5,Biologie,Université,Médecine
Economie,8.3,7.7,7.0,17.8,15.3,Littérature,Université,Langues
PC,13.7,12.6,16.4,10.8,10.5,Art,Université,Architecture
Economie,6.5,8.4,9.6,17.9,14.5,Littérature,Université,Langues
PC,18.8,12.2,13.3,11.1,10.7,Technologie,Lycée,Informatique
SVT,16.5,12.8,12.5,9.4,11.4,Jeux vidéo,Lycée,Informatique
Lettres,10.8,13.1,10.3,11.9,15.9,Philosophie,Université,Psychologie
STM,18.0,13.9,16.0,11.5,9.8,Programmation,Lycée,Informatique
PC,11.0,7.9,10.8,15.4,11.3,Business,Lycée,Commerce
SVT,9.1,9.7,9.7,18.1,14.8,Justice,Lycée,Droit
PC,15.3,15.9,14.7,12.9,10.4,Construction,Lycée,Médecine
PC,13.6,11.1,12.3,12.0,12.1,Art,Lycée,Architecture
Economie,9.7,9.2,8.0,17.9,15.0,Littérature,Lycée,Langues
STM,16.4,10.6,15.7,9.9,10.6,Mécanique,Université,Ingénierie
Lettres,14.8,8.3,6.5,14.8,13.4,Marketing,Lycée,Commerce
PC,14.3,16.2,16.4,12.5,8.9,Biologie,Lycée,Médecine
STM,14.8,11.7,17.6,13.2,9.8,Construction,Université,Ingénierie
SVT,15.3,13.5,14.9,10.2,7.4,Mécanique,Lycée,Ingénierie
SVT,10.2,14.1,10.5,12.4,15.5,Santé,Lycée,Psychologie
STM,15.8,11.9,15.4,8.7,11.3,Technologie,Université,Informatique
PC,15.3,13.7,16.6,12.3,11.4,Construction,Lycée,Ingénierie
Economie,7.1,11.8,9.8,13.2,15.4,Sciences humaines,Lycée,Psychologie
Economie,12.6,10.5,8.8,12.9,12.2,Business,Université,Commerce
SVT,15.8,16.2,15.8,13.7,12.1,Santé,Lycée,Médecine
Lettres,9.5,10.5,9.7,16.1,14.3,Littérature,Lycée,Langues
STM,11.4,13.6,9.3,11.8,15.3,Philosophie,Université,Psychologie
Economie,9.3,11.3,7.6,17.7,16.3,Politique,Lycée,Droit
Economie,10.6,10.3,6.6,16.0,11.3,Finance,Lycée,Commerce
PC,15.6,14.6,11.2,8.7,9.6,Programmation,Université,Informatique
Lettres,9.0,10.6,9.7,16.2,12.5,Voyage,Lycée,Langues
PC,14.1,10.8,7.6,15.7,14.0,Marketing,Université,Commerce
SVT,18.6,11.9,12.6,8.2,9.5,Voyage,Lycée,Informatique
Economie,12.1,7.9,8.8,15.2,13.9,Finance,Lycée,Commerce
PC,14.5,13.2,16.8,11.2,8.5,Technologie,Université,Ingénierie
SVT,9.2,10.1,10.5,18.0,13.6,Culture,Université,Langues
Lettres,10.5,9.2,9.8,15.6,17.1,Politique,Lycée,Droit
SVT,16.2,17.3,16.0,11.6,11.0,Santé,Lycée,Médecine
PC,16.4,17.1,16.3,11.0,12.0,Santé,Université,Médecine
SVT,7.3,13.5,5.9,14.0,15.1,Sciences humaines,Lycée,Psychologie
SVT,14.3,18.4,13.7,10.8,11.9,Biologie,Lycée,Médecine
SVT,14.1,13.6,13.6,10.3,12.8,Design,Université,Architecture
SVT,8.8,12.8,7.6,14.2,16.3,Santé,Lycée,Psychologie
PC,19.2,11.7,13.1,10.9,9.6,Technologie,Lycée,Informatique
Economie,8.1,13.4,8.6,12.3,16.3,Sciences humaines,Université,Psychologie
PC,12.7,9.7,8.9,15.4,12.3,Business,Lycée,Commerce
Economie,9.8,11.2,8.1,13.9,17.5,Politique,Lycée,Droit
SVT,16.3,11.7,13.5,13.0,11.1,Jeux vidéo,Université,Informatique
PC,14.8,17.8,17.1,11.6,12.0,Biologie,Université,Médecine
Economie,11.6,10.4,7.8,15.8,12.5,Marketing,Lycée,Commerce
PC,15.0,14.3,15.9,12.0,10.3,Technologie,Lycée,Ingénierie
STM,13.2,14.4,16.4,9.1,9.7,Construction,Lycée,Ingénierie
PC,11.9,10.1,12.2,15.3,11.3,Marketing,Lycée,Commerce
Economie,12.7,11.5,8.6,14.7,12.7,Business,Lycée,Commerce
Lettres,7.2,7.6,9.9,18.5,15.0,Voyage,Université,Langues
Economie,8.9,7.5,7.1,16.6,16.5,Histoire,Université,Droit
SVT,9.0,13.7,9.0,15.0,16.5,Santé,Université,Psychologie
PC,14.8,11.6,17.1,10.5,8.8,Technologie,Université,Ingénierie
PC,16.4,11.7,14.2,9.7,8.5,Technologie,Université,Informatique
SVT,14.9,11.7,15.0,12.6,12.2,Design,Lycée,Architecture
SVT,10.8,9.0,10.1,15.9,15.9,Business,Lycée,Droit
SVT,15.8,19.0,15.1,11.8,11.2,Biologie,Lycée,Médecine
SVT,16.3,18.4,16.4,13.4,11.1,Santé,Lycée,Médecine
SVT,17.1,11.5,14.3,10.1,9.9,Technologie,Université,Informatique
SVT,17.6,13.9,13.4,12.5,10.1,Jeux vidéo,Lycée,Informatique
STM,13.0,14.2,12.5,11.7,10.5,Art,Université,Architecture
PC,11.6,8.6,10.7,13.9,11.5,Finance,Lycée,Commerce
SVT,17.7,13.7,13.5,11.3,10.1,Technologie,Lycée,Informatique
STM,16.2,14.4,13.9,11.8,11.7,Business,Université,Informatique
Economie,12.1,8.8,9.6,14.2,11.0,Finance,Lycée,Commerce
STM,17.3,12.3,11.9,11.5,8.9,Programmation,Lycée,Informatique
SVT,16.3,12.4,16.1,10.3,8.8,Technologie,Lycée,Ingénierie
Economie,8.9,9.9,10.5,14.9,16.9,Histoire,Université,Droit
STM,13.6,13.1,12.1,11.7,11.6,Construction,Université,Architecture
SVT,9.5,13.1,10.2,12.1,15.7,Philosophie,Université,Psychologie
STM,15.7,12.4,16.9,9.8,9.2,Construction,Lycée,Ingénierie
SVT,9.7,12.5,13.6,10.0,12.2,Art,Lycée,Architecture
Lettres,9.2,11.8,10.0,16.0,13.2,Culture,Lycée,Langues
SVT,7.9,12.9,10.4,12.9,17.1,Sciences humaines,Université,Psychologie
Lettres,9.4,10.0,8.0,13.7,10.4,Finance,Université,Commerce
SVT,9.0,8.3,9.9,16.8,15.5,Politique,Lycée,Droit
PC,14.2,19.2,17.7,11.1,10.4,Santé,Université,Médecine
Lettres,9.0,8.1,11.4,14.4,11.0,Marketing,Lycée,Commerce
Economie,9.4,8.9,8.2,18.0,14.4,Culture,Lycée,Langues
SVT,14.5,18.9,15.8,12.7,9.6,Santé,Lycée,Médecine
PC,11.6,10.1,10.9,14.5,11.9,Business,Université,Commerce
Lettres,11.2,15.5,11.0,13.3,14.2,Sciences humaines,Université,Psychologie
Lettres,13.0,10.3,9.1,14.8,11.4,Marketing,Lycée,Commerce
Economie,9.1,9.9,10.0,13.9,17.0,Politique,Lycée,Droit
Economie,7.9,9.5,10.4,16.3,17.9,Justice,Lycée,Droit
SVT,15.5,14.9,11.6,13.6,11.2,Jeux vidéo,Lycée,Informatique
Lettres,10.6,8.1,7.8,16.5,16.8,Justice,Université,Droit
PC,14.8,12.3,14.7,13.2,12.5,Finance,Université,Architecture
SVT,12.9,12.8,12.3,10.5,11.4,Art,Lycée,Architecture
STM,17.6,14.8,13.3,11.0,11.0,Technologie,Lycée,Informatique
PC,17.8,11.8,15.5,9.1,11.1,Programmation,Université,Informatique
SVT,16.8,14.0,14.3,8.0,9.8,Jeux vidéo,Université,Informatique
PC,14.7,10.7,7.9,16.6,14.8,Marketing,Université,Commerce
STM,14.7,15.4,17.8,12.6,9.4,Mécanique,Université,Ingénierie
PC,13.9,11.7,13.8,14.4,11.4,Art,Lycée,Architecture
SVT,15.3,13.0,14.3,12.1,8.4,Programmation,Lycée,Informatique
SVT,12.0,10.2,7.7,18.0,12.2,Justice,Lycée,Langues
Lettres,11.1,8.0,8.3,16.6,16.8,Voyage,Université,Langues
SVT,9.7,12.4,9.6,14.6,16.9,Santé,Lycée,Psychologie
Economie,9.4,12.2,7.3,15.2,17.1,Santé,Lycée,Psychologie
SVT,7.9,9.7,8.0,17.0,14.9,Littérature,Lycée,Langues
Economie,7.2,6.2,9.2,15.6,16.5,Histoire,Lycée,Droit
SVT,15.8,17.5,15.1,12.9,9.8,Santé,Lycée,Médecine
SVT,9.5,6.9,9.0,16.8,13.0,Littérature,Lycée,Langues
Lettres,9.5,13.1,10.2,13.4,16.6,Jeux vidéo,Lycée,Psychologie
Economie,8.8,8.6,9.0,16.3,18.9,Politique,Lycée,Droit
Lettres,8.5,9.6,8.3,13.0,18.0,Politique,Lycée,Droit
PC,10.2,11.6,15.3,12.6,13.3,Design,Lycée,Architecture
PC,12.7,10.5,13.7,12.5,10.4,Construction,Lycée,Architecture
SVT,10.6,7.0,7.8,18.8,13.9,Voyage,Lycée,Langues
Lettres,10.9,10.1,8.4,17.4,13.8,Business,Université,Commerce
PC,14.0,17.3,16.0,11.1,13.2,Santé,Lycée,Médecine
SVT,16.4,13.0,13.9,10.3,11.1,Programmation,Université,Informatique
PC,18.5,12.0,13.4,11.8,8.7,Programmation,Lycée,Informatique
SVT,12.5,10.7,14.4,11.5,10.8,Design,Lycée,Architecture
PC,10.4,10.5,7.7,15.6,13.2,Finance,Lycée,Commerce
Lettres,6.8,12.7,9.1,12.4,16.2,Santé,Lycée,Psychologie
SVT,16.4,13.1,11.2,10.9,11.2,Jeux vidéo,Lycée,Informatique
Economie,12.2,13.1,7.1,16.2,12.2,Business,Université,Commerce
SVT,14.5,18.6,14.6,12.3,11.7,Biologie,Lycée,Médecine
PC,12.4,9.9,9.3,12.7,12.6,Finance,Université,Commerce
Lettres,12.9,7.9,10.0,14.6,12.0,Marketing,Lycée,Commerce
STM,15.8,13.3,11.4,9.2,10.6,Finance,Université,Informatique
SVT,15.5,13.3,15.9,10.4,11.3,Construction,Lycée,Ingénierie
Economie,9.4,8.4,8.5,14.0,16.6,Politique,Lycée,Droit
PC,13.2,18.0,16.1,13.2,10.0,Biologie,Université,Médecine
PC,17.2,12.1,14.8,9.8,10.2,Jeux vidéo,Université,Informatique
Lettres,6.7,14.1,10.8,14.1,14.1,Sciences humaines,Lycée,Psychologie
SVT,18.0,12.3,14.8,9.4,11.0,Technologie,Université,Informatique
PC,11.8,17.6,16.0,14.3,12.3,Santé,Lycée,Médecine
Economie,8.3,6.8,8.8,15.8,17.0,Histoire,Université,Droit
PC,19.2,11.4,14.4,9.9,9.8,Jeux vidéo,Lycée,Informatique
SVT,17.1,14.0,13.7,10.9,7.7,Technologie,Université,Informatique
Lettres,8.7,13.0,10.5,13.4,16.5,Santé,Lycée,Psychologie
SVT,9.2,9.8,7.6,14.1,16.9,Histoire,Université,Droit
SVT,15.3,11.9,15.6,11.6,10.3,Technologie,Université,Ingénierie
SVT,8.7,8.7,8.2,18.6,13.0,Littérature,Lycée,Langues
Lettres,10.8,9.9,7.8,19.4,14.2,Culture,Université,Langues
Economie,9.4,7.8,10.1,17.2,12.4,Littérature,Lycée,Langues
Lettres,13.3,8.0,10.5,15.2,13.1,Business,Lycée,Commerce
STM,16.0,13.7,16.0,11.1,10.5,Design,Université,Informatique
Lettres,14.2,8.5,8.8,15.3,10.8,Finance,Université,Commerce
Economie,10.5,9.9,6.7,16.4,13.4,Voyage,Lycée,Langues
